Computer Sftwr-Design	Mentor Graphics Corp	MENT	Computer Sftwr-Design	 100.3 87 61 98 99 C A+ -5 -39 14.3 11 18 64										
Computer Sftwr-Enterprse	Ebix Inc	EBIX	Computer Sftwr-Enterprse	 74.0 89 95 87 88 A D+ 103 49 18.9 12 50 51										
Computer Sftwr-Enterprse	Twilio Inc Cl A	TWLO	Computer Sftwr-Enterprse	 92.3 17 38 7 16 D D+ -39.3 62 0 10										
Computer Sftwr-Enterprse	Wix.com Ltd	WIX	Computer Sftwr-Enterprse	 95.8 67 52 96 98 D B- -422.4 41 99										
Computer-Tech Services	Computer Sciences Corp	CSC	Computer-Tech Services	 81.8 67 49 92 95 C C+ -30 358 14.7 7 96 72										
Consumer Svcs-Education	Capella Education Co	CPLA	Consumer Svcs-Education	 90.0 94 61 97 96 B A+ 10 2 21.7 6 0 69										
Elec-Contract Mfg	Sanmina Corp	SANM	Elec-Contract Mfg	 78.1 92 92 94 87 C A- 18 17 12.8 2 27 54										
Elec-Misc Products	Interdigital Inc	IDCC	Elec-Misc Products	 86.3 98 96 95 95 A B+ 58 82 25.2 107 51 40										
Elec-Scientific/Msrng	Cognex Corp	CGNX	Elec-Scientific/Msrng	 88.4 96 87 94 92 A B+ 17 8 14.7 38 0 58										
Elec-Scientific/Msrng	Coherent Inc	COHR	Elec-Scientific/Msrng	  111.0 95 87 95 96 A B- 11 22 13.6 19 0 60										
Elec-Scientific/Msrng	Itron Inc	ITRI	Elec-Scientific/Msrng	 73.7 83 72 92 84 C A- -9 330 6.2 8 60 67										
Elec-Semicondctor Fablss	Cirrus Logic Inc	CRUS	Elec-Semicondctor Fablss	 91.5 95 77 94 82 A B -4 -1 19.6 40 19 64										
Elec-Semicondctor Fablss	Nvidia Corp	NVDA	Elec-Semicondctor Fablss	   223.9 99 96 99 99 A A- 30 54 20.9 54 0 57										
Elec-Semiconductor Equip	AdvancedEnergy Inds	AEIS	Elec-Semiconductor Equip	 93.9 97 93 94 82 A B 12 -4 24.2 15 0 56										
Elec-Semiconductor Equip	Applied Materials Inc	AMAT	Elec-Semiconductor Equip	 72.8 99 93 90 68 A B 29 48 26.3 39 44 49										
Elec-Semiconductor Mfg	Intersil Corp	ISIL	Elec-Semiconductor Mfg	 74.8 90 77 92 82 B A- 9 9 9.7 8 0 54										
Elec-Semiconductor Mfg	Impinj Inc	PI	Elec-Semiconductor Mfg	 152.4 86 37 96 97 A B- 0 28.7 50 102 28										
Electronic-Parts	Airgain Inc	AIRG	Electronic-Parts	 80.0 85 79 92 83 C D+ -7.4 87 74 6										
Energy-Coal	Alliance Res Partners Lp	ARLP	Energy-Coal	 74.9 78 68 91 40 B D -14 -21 37.3 -3 67 25										
Finance-Consumer Loans	World Acceptance Corp	WRLD	Finance-Consumer Loans	 73.3 81 39 96 87 B A- 2 -24 24.4 -5 96 99										
Finance-Invest Bnk/Bkrs	Piper Jaffray Cos	PJC	Finance-Invest Bnk/Bkrs	 79.5 97 84 97 93 B A- 2 5 8.2 33 0 43										
Finance-Property REIT	CorEnergy Infrastructure	CORR	Finance-Property REIT	     135.0 81 71 95 99 B A 10 143 3.4 0 36 26										
Finance-Property REIT	NexPoint Residential Tr	NXRT	Finance-Property REIT	 70.7 83 79 89 99 D A -5.5 8 308 22										
Finance-Savings & Loan	LegacytexasFinanc Grp	LTXB	Finance-Savings & Loan	 72.1 99 92 97 98 A B+ 33 22 10.5 20 179 54										
Financial Svcs-Specialty	Bats Global Markets Inc	BATS	Financial Svcs-Specialty	 76.4 94 95 85 88 B A- 40 37 30.3 -10 158										
Food-Grain & Related	M G P Ingredients Inc	MGPI	Food-Grain & Related	 92.6 65 39 96 99 B B+ 86 12 23.8 -1 26 45										
Hsehold-Appliances/Wares	SodastreamIntl Ltd	SODA	Hsehold-Appliances/Wares	  142.0 92 79 99 99 C A+ -22 35 6.5 13 7 21										
Insurance-Prop/Cas/Titl	Kinsale Capital Group	KNSL	Insurance-Prop/Cas/Titl	    112.6 97 90 98 99 A A- 33 11 21.6 76 26 27										
Internet-Content	Weibo Corp Cl A Ads	WB	Internet-Content	 108.2 90 84 94 92 A C- 194 11.7 42 0 99										
Internet-Network Sltns	Gigamon Inc	GIMO	Internet-Network Sltns	 71.4 91 96 79 77 A D+ 56 69 21.4 47 0 53										
Leisure-Gaming/Equip	Isle Of Capri Casinos	ISLE	Leisure-Gaming/Equip	 77.2 66 29 92 99 B B+ 174 7 95.3 -1 1220 62										
Machinery-Constr/Mining	Joy Global Inc	JOY	Machinery-Constr/Mining	    122.1 45 4 94 99 E A- -64 -93 1 -24 70 60										
Machinery-Constr/Mining	Terex Corp	TEX	Machinery-Constr/Mining	 70.6 64 45 93 87 D B- -14 -25 9.2 -16 93 52										
Machinery-Gen Industrial	John Bean Technologies	JBT	Machinery-Gen Industrial	 72.5 96 95 92 90 A D- 22 34 45 28 216 68										
Machinery-Gen Industrial	Nordson Corp	NDSN	Machinery-Gen Industrial	 74.7 93 89 90 88 A B- 8 32 35.5 14 112 51										
Medical-Biomed/Biotech	Avexis Inc	AVXS	Medical-Biomed/Biotech	    138.7 38 2 96 95 D+ -140.6 0 98										
Medical-Biomed/Biotech	Novan Inc	NOVN	Medical-Biomed/Biotech	   145.6 47 1 87 89 E A -93 0 19										
Medical-Biomed/Biotech	Supernus Pharma	SUPN	Medical-Biomed/Biotech	 87.9 95 79 90 91 A B 357 14.7 44 0 85										
Medical-Biomed/Biotech	Theravance Biopharma	TBPH	Medical-Biomed/Biotech	 94.5 60 42 89 90 D C -68.4 78 0 55										
Medical-Biomed/Biotech	Tesaro Inc	TSRO	Medical-Biomed/Biotech	 157.0 60 18 99 99 D B -236.5 4044 140 96										
Medical-Biomed/Biotech	Xencor Inc	XNCR	Medical-Biomed/Biotech	 80.0 81 54 94 94 D B+ -15.9 123 0 66										
Medical-Managed Care	Wellcare Health Plans	WCG	Medical-Managed Care	 75.3 75 74 90 99 C B+ 2 70 9.5 4 53 65										
Medical-Services	Healthways Inc	HWAY	Medical-Services	 76.8 51 31 96 96 B C- 107 19 12.3 10 76 81										
Medical-Services	Irhythm Technologies Inc	IRTC	Medical-Services	 76.5 29 22 72 78 B- 80										
Metal Proc & Fabrication	Insteel Industries Inc	IIIN	Metal Proc & Fabrication	 70.4 90 96 79 41 C B+ 48 89 18.3 -13 0 45										
Metal Proc & Fabrication	Schnitzer Steel Inds	SCHN	Metal Proc & Fabrication	 78.8 82 78 94 87 E B 3.9 -15 37 52										
Mining-Gold/Silver/Gems	NewmontMining Corp	NEM	Mining-Gold/Silver/Gems	 89.4 41 57 77 58 C C -20 15 3.3 15 54 53										
Mining-Gold/Silver/Gems	Royal Gold Inc	RGLD	Mining-Gold/Silver/Gems	 73.7 55 80 71 50 B D- 4 21 2.9 59 27 50										
Oil&Gas-Drilling	Patterson-UtiEnergy Inc	PTEN	Oil&Gas-Drilling	 78.5 34 1 92 83 E B- -4 -51 31 84										
Oil&Gas-Integrated	Lukoil P J S C Adr	LUKOY	Oil&Gas-Integrated	 72.8 14 90 88 B- -13 -18 12 -7 14 25										
Oil&Gas-Machinery/Equip	ForumEnergy Tech	FET	Oil&Gas-Machinery/Equip	 76.6 50 20 91 76 E C+ 2.8 -44 32 70										
Oil&Gas-Machinery/Equip	Chart Industries Inc	GTLS	Oil&Gas-Machinery/Equip	 100.6 74 73 95 95 E C -31 -24 4.9 -23 32 60										
Oil&Gas-Refining/Mktg	Targa Resources Corp	TRGP	Oil&Gas-Refining/Mktg	 107.2 66 45 95 97 D B+ -29 -74 10.3 1 394 51										
Oil&Gas-Transprt/Pipelne	Golar Lng Partners Lp	GMLP	Oil&Gas-Transprt/Pipelne	 87.9 80 62 93 94 A A- 1 2 30.5 0 258 45										
Oil&Gas-Transprt/Pipelne	Oneok Inc	OKE	Oil&Gas-Transprt/Pipelne	   132.8 82 61 96 96 B A- -8 15 69.1 24 2479 43										
Oil&Gas-Transprt/Pipelne	Rice Midstream Prtnrs LP	RMP	Oil&Gas-Transprt/Pipelne	 82.2 88 80 87 86 A C+ 173 11.2 37 28 31										
Oil&Gas-Transprt/Pipelne	SpectraEnergy Corp	SE	Oil&Gas-Transprt/Pipelne	 71.6 68 64 80 75 B B -14 -11 21.2 -3 121 37										
Oil&Gas-U S Expl&Prod	Continental Res Inc	CLR	Oil&Gas-U S Expl&Prod	  124.3 44 9 92 77 E C- -2.4 -23 152 67										
Oil&Gas-U S Expl&Prod	Clayton WilliamsEnergy	CWEI	Oil&Gas-U S Expl&Prod	303.3	55	1	99	99	E 	B+ 	-20.3	2	250	41
Oil&Gas-U S Expl&Prod	ParsleyEnergy Inc Cl A	PE	Oil&Gas-U S Expl&Prod	 91.0 94 79 91 70 D B+ -2.8 107 44 76										
Oil&Gas-U S Expl&Prod	R S P Permian Inc	RSPP	Oil&Gas-U S Expl&Prod	 82.9 69 20 91 70 C B- 3.1 16 38 42										
Oil&Gas-U S Expl&Prod	S MEnergy Co	SM	Oil&Gas-U S Expl&Prod	 75.4 41 15 87 61 E D -1.8 -5 136 63										
Oil&Gas-U S Expl&Prod	Unit Corp	UNT	Oil&Gas-U S Expl&Prod	   120.3 73 32 99 99 E A- -0.4 -28 71 72										
Retail-Apparel/Shoes/Acc	Burlington Stores Inc	BURL	Retail-Apparel/Shoes/Acc	 97.6 81 99 90 95 B- 50 30 9 74										
Retail-Apparel/Shoes/Acc	Duluth Holdings Inc Cl B	DLTH	Retail-Apparel/Shoes/Acc	 74.1 52 39 77 75 B D- 28 0 43.7 21 6 47										
Retail-Apparel/Shoes/Acc	Childrens Place Inc	PLCE	Retail-Apparel/Shoes/Acc	 82.9 81 85 90 95 C B 13 44 13.4 4 0 79										
Retail-Apparel/Shoes/Acc	Tailored Brands Inc	TLRD	Retail-Apparel/Shoes/Acc	 74.1 75 59 98 99 D A- -14 -23 20.2 -2 74										
Retail-Super/Mini Mkts	SpartannashCompany	SPTN	Retail-Super/Mini Mkts	 82.7 72 78 93 99 D B 11 15 9.7 1 60 55										
Retail/Whlsle-Bldg Prds	Central Garden & Pet Co	CENT	Retail/Whlsle-Bldg Prds	  144.8 94 95 98 99 B B+ 95 72 12.2 7 71 65										
Retail/Whlsle-Bldg Prds	Central Garden Pet Cl A	CENTA	Retail/Whlsle-Bldg Prds	     127.2 94 95 97 95 B B+ 95 72 12.1 7 71 64										
Telecom Svcs-Wireless	Straight PathComm Cl B	STRP	Telecom Svcs-Wireless	 97.8 32 5 92 86 E B -52.5 -91 0 42										
Telecom-Fiber Optics	AcaciaCommunications 	ACIA	Telecom-Fiber Optics	 168.5 93 99 90 78 A D- 234 296 55.7 107 4 28										
Telecom-Fiber Optics	Finisar Corporation	FNSR	Telecom-Fiber Optics	 108.2 88 91 95 92 C E -6 51 9.7 15 20 67										
Telecom-Fiber Optics	Lumentum Holdings Inc	LITE	Telecom-Fiber Optics	 75.5 95 99 88 71 A C- 80 109 18 21 0 62										
Telecom-Infrastructure	Ubiquiti Networks Inc	UBNT	Telecom-Infrastructure	 82.4 98 98 92 86 A B+ 19 34 47.9 35 44 76										
Transportation-Airline	Copa Holdings Sa	CPA	Transportation-Airline	 88.2 70 45 92 85 C D+ -31 -36 12.3 4 66 51										
Transportation-Airline	Skywest Inc	SKYW	Transportation-Airline	 91.6 81 65 97 95 D C+ 362 50 7.1 1 111 57										
Transportation-Truck	Saia Inc	SAIA	Transportation-Truck	 98.4 86 75 97 99 C B+ 7 -16 13.6 0 13 71										
Transportation-Truck	SwiftTransportation A	SWFT	Transportation-Truck	 76.3 82 71 91 88 C B 9 -5 39.5 -5 173 94										
