Stock List: ,IBD 50,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Description: ,"IBD's flagship screen of leading growth stocks gives you 50 companies showing strong relative price strength and top-notch fundamentals. Before you decide what stocks to buy, always check out these new and innovative stocks that historically far outperform the S&P 500. Click ticker for latest chart analysis",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Export Date: ,"7:54 AM Eastern, Sunday, December 25, 2016",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Symbol,Company Name,Rank,Price,Price Change,Price % Change,% off High,Volume,Volume % Change,Composite Rating,EPS Rating,RS Rating,SMR Rating,ACC/DIS Rating,Group Rel Str Rating,EPS % Change(Latest Qtr),EPS % Change(Prev Qtr),EPS EST % Change(Current Qtr),EPS EST % Change(Current Yr),Sales % Change(Last Qtr),Annual ROE,Annual Profit Margin (Latest Yr),Mgmt Own %,Qtrs of Rising Sponsorship
VEEV,Veeva Systems Inc Cl A,33,41.60,0.09,0.2,-13.2,659,-46.1,85,97,82,A,B-,E,83,15,13,33,34,16,26,1,4
MPWR,MONOLITHIC POWER SYSTEMS,34,84.56,0.25,0.3,-4.0,190,-42.6,98,95,79,A,C,A+,20,17,24,21,17,22,25,5,5
EWBC,EAST WEST BANCORP INC,35,51.43,0.27,0.5,0.4,407,-56.2,95,85,91,A,A+,A+,17,4,13,10,3,13,47,1,1
GS,GOLDMAN SACHS GROUP INC,36,240.97,0.85,0.4,-1.9,2185,-48.8,97,80,94,C,A,A,68,-22,1,-14,22,10,31,3,0
CARB,Carbonite Inc,37,16.90,-0.05,-0.3,-13.9,119,-73.8,96,78,96,A,B+,A,75,--,-23,280,50,52,3,16,2
ARRS,Arris International Plc,38,30.56,-0.40,-1.3,-3.0,847,-48.1,96,98,73,A,B+,B+,38,58,15,29,41,18,10,1,1
MXL,MAXLINEAR INC CL A,39,22.30,0.05,0.2,-2.4,358,-57.2,92,93,81,A,D+,A+,8,127,-24,32,1,39,24,5,7
MASI,MASIMO CORP,40,67.50,0.34,0.5,-0.8,223,-41.8,92,86,89,A,B+,B-,18,14,247,55,10,26,17,17,2
LOPE,GRAND CANYON EDUCATION,41,59.23,0.17,0.3,-4.2,119,-70.1,96,78,93,A,A-,A+,-4,7,21,13,9,24,27,5,4
AMN,A M N HEALTHCARE SVCS,42,39.20,-0.05,-0.1,-12.9,541,-24.8,94,99,72,A,B+,A-,29,61,15,45,23,26,9,3,2
AVGO,Broadcom Limited,43,181.94,1.34,0.7,-1.1,897,-67.7,98,97,71,A,C+,A+,41,31,44,20,125,66,41,5,8
MTSI,Macom Tech Solution Hldg,44,46.67,0.40,0.9,-13.3,346,-37.2,95,94,75,A,B-,A,50,42,47,38,36,22,22,43,8
WWD,Woodward Inc,45,70.39,0.23,0.3,-1.5,117,-67.8,89,91,82,B,B,A-,29,23,-7,18,5,16,12,6,2
MCHP,MICROCHIP TECH,46,65.40,0.02,0.0,-2.1,520,-76.7,97,91,79,A,B-,A,42,22,41,35,61,28,30,3,3
FFIV,F 5 NETWORKS INC,47,145.45,1.21,0.8,-1.9,247,-71.3,92,86,86,A,B,B,15,8,12,13,5,40,37,0,2
IBKC,IBERIABANK CORPORATION,48,86.30,-0.05,-0.1,-5.3,245,-51.3,91,79,93,B,C-,A+,1,12,4,6,5,7,28,3,1
URI,UNITED RENTALS INC,49,108.06,1.20,1.1,-1.7,537,-75.4,92,77,95,B,A,A-,0,6,2,3,-3,47,21,1,4
NTES,Netease Inc Adr,50,223.67,6.57,3.0,-17.9,857,-26.3,87,99,72,A,C+,C,40,89,23,37,32,28,40,46,4
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Screen results as of 7:54 AM Eastern, Sunday, December 25, 2016",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Data provided by William O'Neil + Co., Inc. © 2016. All Rights Reserved.",,,,,,,,,,,,,,,,,,,,,,,
"Investor's Business Daily is a registered trademark of Investor's Business Daily, Inc.",,,,,,,,,,,,,,,,,,,,,,,
Reproduction or redistribution other than for personal non-commercial use is prohibited.,,,,,,,,,,,,,,,,,,,,,,,
All prices are delayed at least 20 minutes.,,,,,,,,,,,,,,,,,,,,,,,
